ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3
87,3,4.34,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
88,3,2.2,4.8,16,-1,1,0,0,-1,-1,-1,1,1,0,0
89,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
90,3,4.45,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
91,3,3.15,5.34,16,-1,-1,0,0,-1,-2,-2,0,0,0,0
92,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
93,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
94,3,2.93,4.23,5.09,-1,-1,-1,0,-1,-2,-3,0,0,0,0
95,3,2.37,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1
96,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
97,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
98,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
99,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
100,3,3.34,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
101,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
102,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
103,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
104,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
105,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
106,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
107,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
108,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
109,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
110,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
111,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
112,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
113,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
114,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
115,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
116,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
117,3,4.04,15,16,1,0,0,0,0,0,0,1,0,0,0
118,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
119,3,1.89,15,16,1,0,0,0,0,0,0,1,0,0,0
120,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
121,3,3.73,15,16,1,0,0,0,0,0,0,1,0,0,0
122,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
123,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
124,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
